date,player_name,team,opponent,position,stat,edge,grade,bucket,is_valid,is_combo,total_points,total_conditions,pass_rate,hitrate,hitrate_source,season_avg,games_played,ud_line,ud_over_odds,ud_under_odds,adaptive_multiplier,n_zone_conditions,n_playtype_conditions,details
2026-05-08,Jalen Brunson,NYK,PHI,SG,assists,over,A,valid,True,False,1,1,0.907,0.541,nba_api_gamelog,6.8,74,6.5,+105,-129,0.9071,0,0,
2026-05-08,Anthony Edwards,MIN,SAS,SG,points,under,D,other,False,False,0,0,0.0,0.525,nba_api_gamelog,28.8,61,22.5,-127,+104,0.98,0,0,
2026-05-08,De'Aaron Fox,SAS,MIN,SF,rebounds,under,A,valid,True,False,1,1,1.0,0.5,nba_api_gamelog,3.8,72,3.5,-112,-112,1.05,0,0,
2026-05-08,Tyrese Maxey,PHI,NYK,SF,assists,under,A,valid,True,False,1,1,0.907,0.529,nba_api_gamelog,6.6,70,6.5,+120,-148,0.9071,0,0,
2026-05-08,Tyrese Maxey,PHI,NYK,PF,points,under,D,other,False,False,0,0,0.0,0.457,nba_api_gamelog,28.3,70,25.5,-112,-112,0.99,0,0,
2026-05-08,Tyrese Maxey,PHI,NYK,PF,rebounds,under,B,watchlist,False,False,1,1,1.0,0.357,nba_api_gamelog,4.1,70,3.5,-137,+111,1.06,0,0,
2026-05-08,Jalen Brunson,NYK,PHI,PF,rebounds,over,B,watchlist,False,False,1,1,1.0,0.419,nba_api_gamelog,3.3,74,2.5,-157,+128,1.06,0,0,
2026-05-08,Anthony Edwards,MIN,SAS,PF,rebounds,under,A,valid,True,False,1,1,1.0,0.541,nba_api_gamelog,5.0,61,4.5,-127,+104,1.05,0,0,
2026-05-08,Anthony Edwards,MIN,SAS,PF,assists,under,A,valid,True,False,1,1,0.907,0.508,nba_api_gamelog,3.7,61,4.5,+125,-154,0.9071,0,0,
2026-05-08,De'Aaron Fox,SAS,MIN,SF,reb+ast,under,B,watchlist_combo,False,True,2,2,0.984,0.458,combo_average,10.0,72,8.5,-137,+112,0.9836,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-08,Jalen Brunson,NYK,PHI,PF,reb+ast,over,B,watchlist_combo,False,True,2,2,0.984,0.48,combo_average,10.1,74,9.5,+103,-127,0.9836,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-08,Anthony Edwards,MIN,SAS,PF,reb+ast,under,A,valid_combo,True,True,2,2,0.979,0.524,combo_average,8.7,61,8.5,-130,+106,0.9786,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-08,Tyrese Maxey,PHI,NYK,PF,reb+ast,under,B,watchlist_combo,False,True,2,2,0.984,0.443,combo_average,10.7,70,9.5,-136,+113,0.9836,0,0,Combo: REB+AST = REBOUNDS (1/1) + ASSISTS (1/1)
2026-05-10,De'Aaron Fox,SAS,MIN,SG,points,under,D,other,False,False,0,0,0.0,0.458,nba_api_gamelog,18.6,72,17.5,-112,-112,0.9757,0,0,
2026-05-10,De'Aaron Fox,SAS,MIN,SG,assists,under,B,watchlist,False,False,1,1,0.868,0.417,nba_api_gamelog,6.2,72,5.5,-103,-121,0.8681,0,0,
2026-05-10,Jalen Brunson,NYK,PHI,SG,points,over,D,other,False,False,0,0,0.0,0.514,nba_api_gamelog,26.0,74,27.5,-121,-102,0.9838,0,0,
2026-05-10,Jalen Brunson,NYK,PHI,SG,assists,over,A,valid,True,False,1,1,0.936,0.541,nba_api_gamelog,6.8,74,6.5,+110,-136,0.9362,0,0,
2026-05-10,Anthony Edwards,MIN,SAS,SG,points,under,D,other,False,False,0,0,0.0,0.525,nba_api_gamelog,28.8,61,25.5,-117,-106,0.9605,0,0,
2026-05-10,De'Aaron Fox,SAS,MIN,SF,rebounds,under,A,valid,True,False,1,1,0.996,0.5,nba_api_gamelog,3.8,72,3.5,+100,-122,0.9955,0,0,
2026-05-10,Tyrese Maxey,PHI,NYK,SF,assists,under,A,valid,True,False,1,1,0.853,0.529,nba_api_gamelog,6.6,70,6.5,+114,-141,0.8528,0,0,
2026-05-10,Tyrese Maxey,PHI,NYK,PF,points,under,D,other,False,False,0,0,0.0,0.457,nba_api_gamelog,28.3,70,21.5,-244,+193,0.9757,0,0,
2026-05-10,Tyrese Maxey,PHI,NYK,PF,rebounds,under,B,watchlist,False,False,1,1,1.0,0.357,nba_api_gamelog,4.1,70,3.5,-141,+116,1.0107,0,0,
2026-05-10,Jalen Brunson,NYK,PHI,PF,rebounds,over,B,watchlist,False,False,1,1,1.0,0.419,nba_api_gamelog,3.3,74,3.5,+122,-150,1.0608,0,0,
